object_id,type,access_url,region,headers,access_id
546aa387da4755a81372bde67a37e33dbafc8550e6a1991c498fb91c30fb1a3314a08be0c9934e70f43432710283b1c448873cb1a52b2fe09ea6470c17f7b0f5,file,file:///ebi/ftp/pub/databases/eva/PRJEB28344/1000g,ebi-cli.ebi.ac.uk,,
546aa387da4755a81372bde67a37e33dbafc8550e6a1991c498fb91c30fb1a3314a08be0c9934e70f43432710283b1c448873cb1a52b2fe09ea6470c17f7b0f5,file,file:///ebi/ftp/pub/databases/eva/PRJEB28344/1000g,sra-login.ebi.ac.uk,,
546aa387da4755a81372bde67a37e33dbafc8550e6a1991c498fb91c30fb1a3314a08be0c9934e70f43432710283b1c448873cb1a52b2fe09ea6470c17f7b0f5,sftp,sftp://ebi-cli.ebi.ac.uk/ebi/ftp/pub/databases/eva/PRJEB28344/1000g,ebi-cli.ebi.ac.uk,,
546aa387da4755a81372bde67a37e33dbafc8550e6a1991c498fb91c30fb1a3314a08be0c9934e70f43432710283b1c448873cb1a52b2fe09ea6470c17f7b0f5,ftp,ftp://ftp.ebi.ac.uk/pub/databases/eva/PRJEB28344/1000g,ftp.ebi.ac.uk,,
546aa387da4755a81372bde67a37e33dbafc8550e6a1991c498fb91c30fb1a3314a08be0c9934e70f43432710283b1c448873cb1a52b2fe09ea6470c17f7b0f5,globus,globus://fd9c190c-b824-11e9-98d7-0a63aa6b37da:/gridftp/pub/databases/eva/PRJEB28344/1000g,globus.ebi.ac.uk,,
90a49c18a568af3b5cfd785e7a541c3c541ba93d441d061ee33ad92bef48f6b702039cc670ed1670f98c0cbae1b7a316a252a6cf6b2e122bf701c1ad98fdfe4e,file,file:///ebi/ftp/pub/databases/eva/PRJEB28344/biostudies,ebi-cli.ebi.ac.uk,,
90a49c18a568af3b5cfd785e7a541c3c541ba93d441d061ee33ad92bef48f6b702039cc670ed1670f98c0cbae1b7a316a252a6cf6b2e122bf701c1ad98fdfe4e,file,file:///ebi/ftp/pub/databases/eva/PRJEB28344/biostudies,sra-login.ebi.ac.uk,,
90a49c18a568af3b5cfd785e7a541c3c541ba93d441d061ee33ad92bef48f6b702039cc670ed1670f98c0cbae1b7a316a252a6cf6b2e122bf701c1ad98fdfe4e,sftp,sftp://ebi-cli.ebi.ac.uk/ebi/ftp/pub/databases/eva/PRJEB28344/biostudies,ebi-cli.ebi.ac.uk,,
90a49c18a568af3b5cfd785e7a541c3c541ba93d441d061ee33ad92bef48f6b702039cc670ed1670f98c0cbae1b7a316a252a6cf6b2e122bf701c1ad98fdfe4e,ftp,ftp://ftp.ebi.ac.uk/pub/databases/eva/PRJEB28344/biostudies,ftp.ebi.ac.uk,,
90a49c18a568af3b5cfd785e7a541c3c541ba93d441d061ee33ad92bef48f6b702039cc670ed1670f98c0cbae1b7a316a252a6cf6b2e122bf701c1ad98fdfe4e,globus,globus://fd9c190c-b824-11e9-98d7-0a63aa6b37da:/gridftp/pub/databases/eva/PRJEB28344/biostudies,globus.ebi.ac.uk,,
56dc112777d4aa108c5461766ebe7a0b349abda67e93e3373400f9f7bf09ccff1c815383096c51f0c86be2cb39b22023bca29374a239b30887aa06ac5a7229b9,file,file:///ebi/ftp/pub/databases/eva/PRJEB28344/biostudies-test,ebi-cli.ebi.ac.uk,,
